Blocks,Insertion,Selection
73700,2.281,2.397
73800,2.27,2.407
73900,2.277,2.403
74000,2.233,2.4
74100,2.261,2.417
74200,2.24,2.45
74300,2.261,2.477
74400,2.284,2.435
74500,2.285,2.446
74600,2.277,2.44
74700,2.298,2.453
74800,2.284,2.473
74900,2.202,2.429
75000,2.251,2.462
75100,2.323,2.446
75200,2.33,2.535
75300,2.279,2.434
75400,2.397,2.508
75500,2.298,2.472
75600,2.378,2.505
75700,2.298,2.545
75800,2.302,2.515
75900,2.311,2.476
76000,2.356,2.531
76100,2.426,2.617
76200,2.317,2.544
76300,2.349,2.64
76400,2.368,2.534
76500,2.343,2.567
76600,2.453,2.583
76700,2.404,2.573
76800,2.406,2.565
76900,2.419,2.595
77000,2.387,2.559
77100,2.387,2.6
77200,2.391,2.6
77300,2.402,2.599
77400,2.43,2.62
77500,2.449,2.638
77600,2.435,2.631
77700,2.433,2.584
77800,2.456,2.665
77900,2.472,2.655
78000,2.458,2.634
78100,2.521,2.669
78200,2.461,2.618
78300,2.456,2.773
78400,2.488,2.695
78500,2.549,2.74
78600,2.531,2.743
78700,2.468,2.764
78800,2.529,2.702
78900,2.457,2.719
79000,2.54,2.743
79100,2.542,2.74
79200,2.49,2.738
79300,2.518,2.701
79400,2.543,2.697
79500,2.62,2.784
79600,2.522,2.77
79700,2.582,2.797
79800,2.557,2.849
79900,2.66,2.821
80000,2.598,2.82
80100,2.584,2.815
80200,2.592,2.801
80300,2.628,2.905
80400,2.669,2.831
80500,2.627,2.793
80600,2.624,2.829
80700,2.608,2.879
80800,2.637,2.857
80900,2.663,2.861
81000,2.627,2.874
81100,2.637,2.827
81200,2.631,2.878
81300,2.687,2.907
81400,2.693,2.875
81500,2.761,2.922
81600,2.698,2.853
81700,2.667,2.884
81800,2.641,2.906
81900,2.714,2.964
82000,2.742,2.972
82100,2.731,2.929
82200,2.781,3.056
82300,2.824,2.953
82400,2.741,2.967
82500,2.722,3.05
82600,2.736,2.984
82700,2.848,3.03
82800,2.756,2.98
82900,2.774,2.944
83000,2.782,3.02
83100,2.817,3.096
83200,2.78,3.014
83300,2.78,3.046
83400,2.837,3.032
83500,2.811,3.056
83600,2.801,3.085
83700,2.859,3.116
83800,2.842,3.105
83900,2.846,3.137
84000,2.848,3.124
84100,2.836,3.077
84200,2.849,3.1
84300,2.978,3.114
84400,2.906,3.034
84500,2.876,3.129
84600,2.946,3.208
84700,3.053,3.387
84800,3.03,3.585
84900,2.972,3.279
85000,2.942,3.282
85100,2.955,3.218
85200,2.941,3.374
85300,2.937,3.196
85400,2.954,3.189
85500,2.975,3.149
85600,2.964,3.269
85700,3.02,3.232
85800,3.088,3.356
85900,3.019,3.212
86000,2.989,3.285
86100,3.021,3.258
86200,2.976,3.194
86300,3.029,3.201
86400,3.054,3.254
86500,3.001,3.27
86600,3.016,3.358
86700,3.001,3.32
86800,3.02,3.296
86900,3.059,3.323
87000,3.154,3.329
87100,3.06,3.345
87200,3.038,3.341
87300,3.023,3.322
87400,3.192,3.363
87500,3.142,3.328
87600,3.082,3.344
87700,3.096,3.459
87800,3.25,3.413
87900,3.114,3.38
88000,3.181,3.419
88100,3.104,3.337
88200,3.167,3.405
88300,3.121,3.458
88400,3.171,3.491
88500,3.212,3.397
88600,3.167,3.482
88700,3.282,3.495
88800,3.235,3.473
88900,3.193,3.471
89000,3.214,3.449
89100,3.204,3.411
89200,3.246,3.579
89300,3.27,3.557
89400,3.279,3.487
89500,3.379,3.597
89600,3.346,3.665
89700,3.393,3.642
89800,3.383,3.684
89900,3.312,3.711
90000,3.421,3.683
90100,3.318,3.64
90200,3.327,3.526
90300,3.336,3.716
90400,3.395,3.62
90500,3.344,3.522
90600,3.361,3.671
90700,3.315,3.652
90800,3.34,3.648
90900,3.365,3.653
91000,3.351,3.662
91100,3.337,3.707
91200,3.34,3.64
91300,3.346,3.645
91400,3.36,3.644
91500,3.385,3.758
91600,3.312,3.683
91700,3.356,3.749
91800,3.335,3.746
91900,3.413,3.712
92000,3.334,3.662
92100,3.387,3.736
92200,3.453,3.764
92300,3.415,3.746
92400,3.414,3.742
92500,3.488,3.7
92600,3.597,3.775
92700,3.463,3.82
92800,3.463,3.825
92900,3.435,3.769
93000,3.439,3.766
93100,3.445,3.774
93200,3.488,3.877
93300,3.546,3.81
93400,3.488,3.807
93500,3.505,3.8
93600,3.515,3.744
93700,3.557,3.902
93800,3.525,3.851
93900,3.559,3.877
94000,3.555,3.917
94100,3.715,3.913
94200,3.671,3.942
94300,3.601,3.882
94400,3.655,3.882
94500,3.602,4.044
94600,3.606,4.026
94700,3.627,3.93
94800,3.69,3.964
94900,3.689,4.026
95000,3.644,3.93
95100,3.663,3.96
95200,3.686,4.031
95300,3.675,3.916
95400,3.721,4.112
95500,3.643,3.976
95600,3.656,3.962
95700,3.745,4.12
95800,3.829,4.035
95900,3.736,4.096
96000,3.65,3.961
96100,3.718,4.05
96200,3.676,4.034
96300,3.689,4.191
96400,3.673,4.073
96500,3.803,4.129
96600,3.699,4.107
96700,3.752,4.174
96800,3.78,4.156
96900,3.766,4.101
97000,3.767,4.108
97100,3.813,4.096
97200,3.799,4.166
97300,3.818,4.086
97400,3.835,4.151
97500,3.894,4.261
97600,3.859,4.227
97700,3.874,4.183
97800,3.873,4.242
97900,3.849,4.156
98000,3.95,4.243
98100,3.896,4.202
98200,3.888,4.144
98300,3.911,4.228
98400,3.882,4.326
98500,3.976,4.252
98600,3.955,4.258
98700,3.952,4.352
98800,3.947,4.409
98900,3.953,4.352
99000,4.03,4.293
99100,4.02,4.313
99200,4.053,4.298
99300,4.014,4.358
99400,3.893,4.345
99500,3.957,4.327
99600,4.05,4.358
99700,4.064,4.344
99800,4.02,4.365
99900,3.975,4.501
100000,3.991,4.398
